Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental,Guest_number,range_start,range_end,Cost_per_person,Total_Estimate
How much does a spring wedding in Pensacola FL with 200 to 300 guests cost? The ceremony is at the beach and reception is at a country club or golf course. The type of wedding is Beach Destination. The wedding color theme is Blues. The estimated cost for this wedding is $71495.,Spring Wedding,Pensacola FL,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $286 to the total amount spent.,the beach,Beach Destination,Attire & Accessories (Wedding Dress Suit etc.),Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,71495,3898,1203,268,267,2136,19565,4538,4792,1876,250,0,300,286,110038
How much does a wedding in Atlanta GA with 200 to 300 guests cost? The wedding is at a resort or hotel. The type of wedding is Experience. The wedding color theme is Other. The estimated cost for this wedding is $51910.,None specified,Atlanta GA,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $208 to the total amount spent.,a resort or hotel,Other,None,None,None,51910,2349,963,159,266,1215,15660,3492,3733,1254,250,0,300,208,81001
How much does a wedding in New Orleans LA with 25 to 50 guests cost? The ceremony is at a garden or park and reception is at a restaurant. The type of wedding is Elegant Garden Experience. The wedding color theme is Gold. The estimated cost for this wedding is $19402.,None specified,New Orleans LA,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $511 to the total amount spent.,a garden or park,Elegant Garden Experience,Bakery (Wedding Cake/dessert),Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,19402,2009,141,157,258,6039,1259,417,1575,161,38,0,50,511,31418
How much does a fall wedding in Charlotte NC with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Fun Unique Modern. The wedding color theme is Greens. The estimated cost for this wedding is $35485.,Fall Wedding,Charlotte NC,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $203 to the total amount spent.,an event facility,Greens,None,None,None,35485,2929,636,178,1093,10330,6977,2538,560,657,175,0,200,203,61383
How much does a fall wedding in Charlotte NC with 200 to 300 guests cost? The type of wedding is Unique Vintage Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $36028.,Fall Wedding,Charlotte NC,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $144 to the total amount spent.,None specified,Greens,None,None,None,36028,2770,964,156,261,10347,8204,3519,1209,773,250,0,300,144,64231
How much does a winter wedding in Oklahoma City OK with more than 300 guests cost? The wedding is at an event facility. The type of wedding is Elegant Formal Traditional. The wedding color theme is Other. The estimated cost for this wedding is $57896.,Winter Wedding,Oklahoma City OK,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $145 to the total amount spent.,an event facility,Other,None,None,None,57896,204,2004,234,977,19532,11866,5513,3308,4390,400,0,300,145,105924
How much does a summer wedding in Louisville KY with 100 to 150 guests cost? The wedding is at a winery. The type of wedding is Elegant Modern Experience. The wedding color theme is Black. The estimated cost for this wedding is $23001.,Summer Wedding,Louisville KY,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $184 to the total amount spent.,a winery,Black,None,None,None,23001,1515,450,158,256,4755,7927,2569,671,621,125,0,150,184,41923
How much does a spring wedding in Fairfax VA with 100 to 150 guests cost? The wedding is at a banquet hall. The type of wedding is Elegant Romantic Traditional. The wedding color theme is White. The estimated cost for this wedding is $48949.,Spring Wedding,Fairfax VA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $392 to the total amount spent.,a banquet hall,White,None,None,None,48949,3908,427,214,325,4316,7175,1414,3728,639,125,0,150,392,71095
How much does a wedding in Arlington VA with 150 to 200 guests cost? The type of wedding is Elegant Fun Modern. The wedding color theme is Black. The estimated cost for this wedding is $54198.,None specified,Arlington VA,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $310 to the total amount spent.,Black,None,None,None,None,54198,2865,572,326,325,1264,7755,1984,3316,809,175,0,200,310,73414
How much does a spring wedding in Tarrytown NY with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Garden Modern Experience. The wedding color theme is Pinks. The estimated cost for this wedding is $38245.,Spring Wedding,Tarrytown NY,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $306 to the total amount spent.,a resort or hotel,Pinks,None,None,None,38245,4101,452,238,334,1345,5101,1581,1897,379,125,0,150,306,53673
How much does a spring wedding in Newport RI with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Elegant Formal Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $28807.,Spring Wedding,Newport RI,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $230 to the total amount spent.,an event facility,Pinks,None,None,None,28807,2665,491,249,317,1300,8128,2154,606,179,125,0,150,230,44896
How much does a wedding in Erie PA with 50 to 100 guests cost? The wedding is at a private residence.  The estimated cost for this wedding is $19442.,None specified,Erie PA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $259 to the total amount spent.,a private residence,None specified,None,None,None,19442,2142,266,164,282,4434,2693,923,2066,221,75,0,100,259,32633
How much does a fall wedding in Las Vegas NV with 25 to 50 guests cost? The wedding is at a resort or hotel. The type of wedding is Casual DIY Simple. The wedding color theme is Purples. The estimated cost for this wedding is $12951.,Fall Wedding,Las Vegas NV,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $341 to the total amount spent.,a resort or hotel,Purples,None,None,None,12951,2055,63,278,2082,3940,532,174,141,2207,38,0,50,341,24423
How much does a spring wedding in Paris TX with 50 to 100 guests cost? The wedding is at a family or friends home. The type of wedding is Simple Vintage Farm/Barn. The wedding color theme is White. The estimated cost for this wedding is $9220.,Spring Wedding,Paris TX,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $123 to the total amount spent.,a family or friends home,White,None,None,None,9220,1060,241,329,2502,970,1711,378,1797,0,75,0,100,123,18208
How much does a summer wedding in naperville with 100 to 150 guests cost? The type of wedding is Fun Rustic Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $23903.,Summer Wedding,naperville,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $191 to the total amount spent.,Greens,None,None,None,None,23903,1871,363,163,271,1247,6248,1302,1182,471,125,0,150,191,37021
How much does a winter wedding in Gulfport ms with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at a resort or hotel. The type of wedding is Destination Elegant Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $29404.,Winter Wedding,Gulfport ms,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $235 to the total amount spent.,a church or other place of worship,Destination Elegant Intimate,Bakery (Wedding Cake/dessert),Event Food Service Catering Bar Service,Flowers & Decorations,29404,2117,533,151,241,7871,6350,2688,663,627,125,0,150,235,50645
How much does a summer wedding in Youngstown OH with 100 to 150 guests cost? The wedding is at a banquet hall. The type of wedding is Formal Romantic Unique. The wedding color theme is Ivory. The estimated cost for this wedding is $29888.,Summer Wedding,Youngstown OH,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $239 to the total amount spent.,a banquet hall,Ivory,None,None,None,29888,1463,558,259,275,3669,8343,2318,467,1475,125,0,150,239,48715
How much does a winter wedding in Gulfport MS with more than 300 guests cost? The ceremony is at a church or other place of worship and reception is at a family or friend's home. The type of wedding is Elegant Fun Garden. The wedding color theme is Greens. The estimated cost for this wedding is $68636.,Winter Wedding,Gulfport MS,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $172 to the total amount spent.,a church or other place of worship,Elegant Fun Garden,Attire & Accessories (Wedding Dress Suit etc.),Event Food Service Catering Bar Service,None,68636,1855,1905,221,241,2828,30925,6080,2625,3185,400,0,300,172,118501
How much does a winter wedding in Greensboro NC with 200 to 300 guests cost? The wedding is at a historical building. The type of wedding is Elegant Unique Experience. The wedding color theme is White. The estimated cost for this wedding is $59614.,Winter Wedding,Greensboro NC,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $238 to the total amount spent.,a historical building,White,None,None,None,59614,2642,1269,229,251,1554,17730,4217,4425,1113,250,0,300,238,93044
How much does a spring wedding in Winthrop WA with 50 to 100 guests cost? The wedding is at a lakefront. The type of wedding is Casual Rustic Traditional. The wedding color theme is Ivory. The estimated cost for this wedding is $20857.,Spring Wedding,Winthrop WA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $278 to the total amount spent.,a lakefront,Ivory,None,None,None,20857,1819,280,103,1003,4295,5869,534,422,421,75,0,100,278,35603
How much does a spring wedding in Columbus OH with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant Simple Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $33619.,Spring Wedding,Columbus OH,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $192 to the total amount spent.,a church or other place of worship,Elegant Simple Intimate,Event Location/Venue,Event Rentals,Photography & Video,33619,1306,586,97,985,8411,9659,2968,941,957,175,0,200,192,59529
How much does a spring wedding in Snohomish WA with 50 to 100 guests cost? The wedding is at a church or other place of worship. The type of wedding is DIY Rustic Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $25183.,Spring Wedding,Snohomish WA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $336 to the total amount spent.,a church or other place of worship,Pinks,None,None,None,25183,2275,237,116,320,1427,3977,799,2070,307,75,0,100,336,36711
How much does a winter wedding in Los Angeles CA with 100 to 150 guests cost? The type of wedding is Elegant Fun Theme. The wedding color theme is Blues. The estimated cost for this wedding is $45424.,Winter Wedding,Los Angeles CA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $363 to the total amount spent.,Blues,None,None,None,None,45424,3185,477,320,330,7428,8018,1699,2779,601,125,0,150,363,70261
How much does a spring wedding in San Diego CA with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Casual Garden Romantic. The wedding color theme is Ivory. The estimated cost for this wedding is $32291.,Spring Wedding,San Diego CA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $431 to the total amount spent.,a winery,Ivory,None,None,None,32291,3418,300,223,330,1985,4840,1028,2399,246,75,0,100,431,47060
How much does a summer wedding in Tappan NY with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Fun Romantic Other. The wedding color theme is Purples. The estimated cost for this wedding is $61610.,Summer Wedding,Tappan NY,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $246 to the total amount spent.,a church or other place of worship,Fun Romantic Other,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Event Location/Venue,61610,3979,321,334,1845,17802,17863,902,1425,3671,250,0,300,246,109752
How much does a summer wedding in Cincinnati OH with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Fun Simple Modern. The wedding color theme is Greens. The estimated cost for this wedding is $14729.,Summer Wedding,Cincinnati OH,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $196 to the total amount spent.,an event facility,Greens,None,None,None,14729,974,225,147,886,2432,4117,1987,336,316,75,0,100,196,26149
How much does a spring wedding in Hickory with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Romantic Simple. The wedding color theme is Pinks. The estimated cost for this wedding is $13353.,Spring Wedding,Hickory,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $178 to the total amount spent.,a garden or park,Pinks,None,None,None,13353,1652,278,153,685,2523,3397,1655,216,1892,75,0,100,178,25804
How much does a winter wedding in Dallas TX with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Romantic Modern. The wedding color theme is White. The estimated cost for this wedding is $32432.,Winter Wedding,Dallas TX,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $259 to the total amount spent.,an event facility,White,None,None,None,32432,1493,426,256,272,5679,3668,1422,3122,640,125,0,150,259,49410
How much does a spring wedding in Los Angeles CA with 150 to 200 guests cost? The type of wedding is Elegant Romantic Intimate. The wedding color theme is White. The estimated cost for this wedding is $41503.,Spring Wedding,Los Angeles CA,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $237 to the total amount spent.,White,None,None,None,None,41503,2595,747,207,330,2402,9824,2514,3820,602,175,0,200,237,64544
How much does a summer wedding in Joliet IL with 150 to 200 guests cost? The wedding is at a church or other place of worship. The type of wedding is Formal Romantic Traditional. The wedding color theme is Other. The estimated cost for this wedding is $29754.,Summer Wedding,Joliet IL,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $170 to the total amount spent.,a church or other place of worship,Other,None,None,None,29754,3346,563,175,271,5150,9540,2547,478,492,175,0,200,170,52316
How much does a fall wedding in Scottsdale AZ with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Elegant Fun Romantic. The wedding color theme is Greens. The estimated cost for this wedding is $41982.,Fall Wedding,Scottsdale AZ,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $240 to the total amount spent.,an event facility,Greens,None,None,None,41982,2556,665,262,278,1230,10925,2449,2975,875,175,0,200,240,64197
How much does a fall wedding in Rindge NH with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Rustic Simple Farm/Barn.  The estimated cost for this wedding is $31873.,Fall Wedding,Rindge NH,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $255 to the total amount spent.,an event facility,None specified,None,None,None,31873,2444,171,5537,6449,2146,455,122,6208,825,125,0,150,255,56230
How much does a summer wedding in Salem OR with 100 to 150 guests cost? The type of wedding is Elegant Garden Rustic. The wedding color theme is Blues. The estimated cost for this wedding is $28807.,Summer Wedding,Salem OR,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $230 to the total amount spent.,Blues,None,None,None,None,28807,1836,275,303,1235,8198,6343,3065,739,1391,125,0,150,230,52192
How much does a fall wedding in Greensboro NC with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Fun Simple Unique. The wedding color theme is Blues. The estimated cost for this wedding is $39039.,Fall Wedding,Greensboro NC,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $223 to the total amount spent.,an event facility,Blues,None,None,None,39039,2154,672,217,251,835,10409,2440,2824,585,175,0,200,223,59426
How much does a fall wedding in Little Rock AR with 200 to 300 guests cost? The wedding is at a historical building. The type of wedding is Elegant Romantic Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $45552.,Fall Wedding,Little Rock AR,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $182 to the total amount spent.,a historical building,Greens,None,None,None,45552,1905,1024,180,1029,16647,11092,1446,665,442,250,0,300,182,79982
How much does a spring wedding in Hempstead NY with 150 to 200 guests cost? The wedding is at a banquet hall.  The estimated cost for this wedding is $31663.,Spring Wedding,Hempstead NY,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $181 to the total amount spent.,a banquet hall,None specified,None,None,None,31663,3519,589,219,334,1192,8384,1403,514,604,175,0,200,181,48421
How much does a spring wedding in Islamorada FL with 50 to 100 guests cost? The wedding is at the beach. The type of wedding is Beach Fun Intimate. The wedding color theme is Pinks. The estimated cost for this wedding is $19690.,Spring Wedding,Islamorada FL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $263 to the total amount spent.,the beach,Pinks,None,None,None,19690,1943,361,233,1815,3236,5239,1139,301,213,75,0,100,263,34170
How much does a fall wedding in Detroit MI with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Garden Simple Other.  The estimated cost for this wedding is $18464.,Fall Wedding,Detroit MI,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $246 to the total amount spent.,an event facility,None specified,None,None,None,18464,1449,218,149,257,904,3020,773,1783,352,75,0,100,246,27369
How much does a summer wedding in Ludington MI with 150 to 200 guests cost? The type of wedding is Fun Simple Unique. The wedding color theme is Pinks. The estimated cost for this wedding is $29773.,Summer Wedding,Ludington MI,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $170 to the total amount spent.,Pinks,None,None,None,None,29773,2205,548,162,271,953,6018,1918,2693,711,175,0,200,170,45252
How much does a fall wedding in 65201 with 150 to 200 guests cost? The type of wedding is Romantic Rustic Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $35495.,Fall Wedding,65201,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $203 to the total amount spent.,Greens,None,None,None,None,35495,1537,605,144,247,855,9758,2217,2766,888,175,0,200,203,54512
How much does a fall wedding in Orlando FL with 25 to 50 guests cost? The wedding is at the beach. The type of wedding is Beach Casual Fun. The wedding color theme is Purples. The estimated cost for this wedding is $12158.,Fall Wedding,Orlando FL,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $320 to the total amount spent.,the beach,Purples,None,None,None,12158,1802,118,154,265,1048,1239,413,1422,157,38,0,50,320,18776
How much does a spring wedding in Jacksonville FL with 50 to 100 guests cost? The type of wedding is Casual Fun Simple. The wedding color theme is Blues. The estimated cost for this wedding is $19412.,Spring Wedding,Jacksonville FL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $259 to the total amount spent.,Blues,None,None,None,None,19412,1778,225,236,274,1132,3689,785,1778,316,75,0,100,259,29625
How much does a summer wedding in Camino CA with 100 to 150 guests cost? The wedding is at a garden or park. The type of wedding is Formal. The wedding color theme is Black. The estimated cost for this wedding is $39034.,Summer Wedding,Camino CA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $312 to the total amount spent.,a garden or park,Black,None,None,None,39034,3381,505,278,331,1652,8325,1775,3034,425,125,0,150,312,58740
How much does a fall wedding in Franklin Lake NJ with 150 to 200 guests cost? The wedding is at a lakefront. The type of wedding is Romantic Rustic Farm/Barn. The wedding color theme is Champagne. The estimated cost for this wedding is $45609.,Fall Wedding,Franklin Lake NJ,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $261 to the total amount spent.,a lakefront,Champagne,None,None,None,45609,3558,673,315,1279,10993,13701,3475,541,832,175,0,200,261,80976
How much does a wedding with 50 to 100 guests cost? The type of wedding is Garden Romantic Intimate. The wedding color theme is Black. The estimated cost for this wedding is $24277.,None specified,None specified,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $324 to the total amount spent.,Black,None,None,None,None,24277,2070,405,63,277,947,6084,1420,2207,599,75,0,100,324,38349
How much does a winter wedding in Avalon NJ with 25 to 50 guests cost? The wedding is at a historical building. The type of wedding is Garden Farm/Barn Intimate. The wedding color theme is Oranges. The estimated cost for this wedding is $23790.,Winter Wedding,Avalon NJ,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $626 to the total amount spent.,a historical building,Oranges,None,None,None,23790,3628,218,188,312,4335,3092,658,1945,213,38,0,50,626,38379
How much does a spring wedding in Palatine with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The wedding color theme is Blues. The estimated cost for this wedding is $53141.,Spring Wedding,Palatine,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $213 to the total amount spent.,a church or other place of worship,None specified,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Photography & Video,53141,2656,856,240,271,4337,14481,3113,2469,1413,250,0,300,213,82977
How much does a summer wedding in Palatine IL with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant Romantic Traditional.  The estimated cost for this wedding is $62956.,Summer Wedding,Palatine IL,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $252 to the total amount spent.,a church or other place of worship,Elegant Romantic Traditional,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Photography & Video,62956,2820,893,266,271,4684,15329,3330,3608,1481,250,0,300,252,95638
How much does a spring wedding in Pittsburgh PA with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Elegant Unique Modern. The wedding color theme is Pinks. The estimated cost for this wedding is $30263.,Spring Wedding,Pittsburgh PA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $242 to the total amount spent.,a resort or hotel,Pinks,None,None,None,30263,3406,515,203,288,1261,7176,1836,1854,440,125,0,150,242,47242
